
央视咪咕,#genre#
剧场1,http://hms2944nc1972666637.live.aikan.miguvideo.com/wh7f454c46tw1961016482_-2115334393/PLTV/88888888/224/3221231570/index.m3u8?icpid=88888888&RTS=1662527966&from=12&hms_devid=2944&online=1662527966
剧场2,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231621/index.m3u8
剧场3,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw2363261591_-1163025824/PLTV/88888888/224/3221231628/index.m3u8?icpid=88888888&RTS=1662528368&from=12&hms_devid=2944&online=1662528368
剧场4,http://hms2844nc1972666627.live.aikan.miguvideo.com/wh7f454c46tw2390617360_1959758712/PLTV/88888888/224/3221231634/index.m3u8?icpid=88888888&RTS=1662528396&from=12&hms_devid=2844&online=1662528396
剧场5,http://hms2904nc1972666633.live.aikan.miguvideo.com/wh7f454c46tw2415084501_1825672303/PLTV/88888888/224/3221231637/index.m3u8?icpid=88888888&RTS=1662528420&from=12&hms_devid=2904&online=1662528420
剧场6,http://hms2884nc1972666631.live.aikan.miguvideo.com/wh7f454c46tw2464268132_848205911/PLTV/88888888/224/3221231643/index.m3u8?icpid=88888888&RTS=1662528469&from=12&hms_devid=2884&online=1662528469
剧场7,http://hms2844nc1972666628.live.aikan.miguvideo.com/wh7f454c46tw2499580721_-377801592/PLTV/88888888/224/3221231652/index.m3u8?icpid=88888888&RTS=1662528505&from=12&hms_devid=2844&online=1662528505
剧场8,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw2522109256_-685947617/PLTV/88888888/224/3221231679/index.m3u8?icpid=88888888&RTS=1662528527&from=12&hms_devid=2944&online=1662528527
剧场9,http://hms2844nc1972666628.live.aikan.miguvideo.com/wh7f454c46tw2578527036_1443064656/PLTV/88888888/224/3221231699/index.m3u8?icpid=88888888&RTS=1662528584&from=12&hms_devid=2844&online=1662528584
剧场10,http://hms2884nc1972666631.live.aikan.miguvideo.com/wh7f454c46tw3154212891_800819645/PLTV/88888888/224/3221231754/index.m3u8?icpid=88888888&RTS=1662529159&from=12&hms_devid=2884&online=1662529159
剧场11,http://hms2904nc1972666634.live.aikan.miguvideo.com/wh7f454c46tw3172896280_713213297/PLTV/88888888/224/3221231757/index.m3u8?icpid=88888888&RTS=1662529178&from=12&hms_devid=2904&online=1662529178
剧场12,http://hms2864nc1972666630.live.aikan.miguvideo.com/wh7f454c46tw3191977459_-145840861/PLTV/88888888/224/3221231763/index.m3u8?icpid=88888888&RTS=1662529197&from=12&hms_devid=2864&online=1662529197
剧场13,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw1398211733_-1247048355/PLTV/88888888/224/3221231498/index.m3u8?icpid=88888888&RTS=1662527403&from=12&hms_devid=2944&online=1662527403
二三里资讯,http://hms2864nc1972666630.live.aikan.miguvideo.com/wh7f454c46tw2764027063_456593804/PLTV/88888888/224/3221231751/index.m3u8?icpid=88888888&RTS=1662528769&from=12&hms_devid=2864&online=1662528769
直接回顾,http://hms2844nc1972666628.live.aikan.miguvideo.com/wh7f454c46tw2286611641_-1293776571/PLTV/88888888/224/3221231669/index.m3u8?icpid=88888888&RTS=1662528292&from=12&hms_devid=2844&online=1662528292
直播回顾1,http://hms2844nc1972666628.live.aikan.miguvideo.com/wh7f454c46tw2857613819_-506621778/PLTV/88888888/224/3221231715/index.m3u8?icpid=88888888&RTS=1662528863&from=12&hms_devid=2844&online=1662528863
江苏教育,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw2117371954_1954078511/PLTV/88888888/224/3221231631/index.m3u8?icpid=88888888&RTS=1662528123&from=12&hms_devid=2944&online=1662528123
东方财经浦东,http://hms2844nc1972666627.live.aikan.miguvideo.com/wh7f454c46tw2141321572_-998554294/PLTV/88888888/224/3221231646/index.m3u8?icpid=88888888&RTS=1662528147&from=12&hms_devid=2844&online=1662528147
贵州1,http://hms2924nc1972666635.live.aikan.miguvideo.com/wh7f454c46tw1455104330_778305018/PLTV/88888888/224/3221231430/index.m3u8?icpid=88888888&RTS=1662527460&from=12&hms_devid=2924&online=1662527460
纪实人文,http://hms2904nc1972666633.live.aikan.miguvideo.com/wh7f454c46tw2337465891_56115308/PLTV/88888888/224/3221231612/index.m3u8?icpid=88888888&RTS=1662528343&from=12&hms_devid=2904&online=1662528343
四海钓鱼,http://hms2844nc1972666627.live.aikan.miguvideo.com/wh7f454c46tw2823691316_265355744/PLTV/88888888/224/3221231718/index.m3u8?icpid=88888888&RTS=1662528829&from=12&hms_devid=2844&online=1662528829




央视,#genre#

CCTV-1综合,http://117.148.129.9/PLTV/88888888/224/3221231468/index.m3u8?zzhongd
CCTV-2财经,http://117.148.129.9/PLTV/88888888/224/3221231678/index.m3u8?zzhongd
CCTV-3综艺,http://117.148.129.9/PLTV/88888888/224/3221231682/index.m3u8?zzhongd
CCTV-4中文国际,http://117.148.129.9/PLTV/88888888/224/3221231726/index.m3u8?zzhongd
CCTV-5体育,http://117.148.129.9/PLTV/88888888/224/3221231702/index.m3u8?zzhongd
CCTV-5+赛事,http://117.148.129.9/PLTV/88888888/224/3221233107/index.m3u8?zzhongd
CCTV-6电影,http://117.148.129.9/PLTV/88888888/224/3221232689/index.m3u8?zzhongd
CCTV-7国防军事,http://117.148.129.9/PLTV/88888888/224/3221231633/index.m3u8?zzhongd
CCTV-8电视剧,http://117.148.129.9/PLTV/88888888/224/3221231694/index.m3u8?zzhongd
CCTV-9纪录,http://117.148.129.9/PLTV/88888888/224/3221231697/index.m3u8?zzhongd
CCTV-10科教,http://117.148.129.9/PLTV/88888888/224/3221231666/index.m3u8?zzhongd
CCTV-11戏曲,http://117.148.129.9/PLTV/88888888/224/3221231711/index.m3u8?zzhongd
CCTV-12社会与法,http://117.148.129.9/PLTV/88888888/224/3221231660/index.m3u8?zzhongd
CCTV-13新闻,http://117.148.129.9/PLTV/88888888/224/3221231636/index.m3u8?zzhongd
CCTV-14少儿,http://117.148.129.9/PLTV/88888888/224/3221231648/index.m3u8?zzhongd
CCTV-15音乐,http://117.148.129.9/PLTV/88888888/224/3221231693/index.m3u8?zzhongd
CCTV-16,http://117.148.129.9/PLTV/88888888/224/3221233442/index.m3u8?zzhongd
CCTV-17农业农村,http://117.148.129.9/PLTV/88888888/224/3221231772/index.m3u8?zzhongd
CCTV-1综合,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000021973/1.m3u8?Contentid=1000000001000021973&livemode=1&stbId=3&channel-id=stenlive
CCTV-2财经,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000012442/1.m3u8?Contentid=1000000001000012442&livemode=1&stbId=3&channel-id=stenlive
CCTV-3综艺,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000011218/1.m3u8?Contentid=1000000001000011218&livemode=1&stbId=3&channel-id=stenlive
CCTV-4中文国际,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000002000031664/1.m3u8?Contentid=1000000002000031664&livemode=1&stbId=3&channel-id=stenlive
CCTV-5体育,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000004794/1.m3u8?Contentid=1000000001000004794&livemode=1&stbId=3&channel-id=stenlive
CCTV-5+赛事,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000020505/1.m3u8?Contentid=1000000001000020505&livemode=1&stbId=3&channel-id=stenlive
CCTV-6电影,http://cache.ott.fifalive.itv.cmvideo.cn:80/1000000001000016466/1.m3u8?Contentid=1000000001000016466&livemode=1&stbId=3&channel-id=stenlive
